@RELATION or

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1.0,0.0}

@DATA
0.95722572,1.0365595,1.0
0.94206269,0.90775919,1.0
1.0925968,1.1350378,1.0
1.000551,1.0052198,1.0
0.93655091,1.0229233,1.0
1.0858327,0.92126207,1.0
0.95192236,1.0523016,1.0
1.1489707,1.0064903,1.0
0.93706088,1.0216167,1.0
0.94060492,0.96797266,1.0
0.9371306,1.064338,1.0
1.0356252,0.75607939,1.0
1.1305086,1.016568,1.0
1.0365674,1.1048207,1.0
1.0772078,0.98093334,1.0
1.1255326,1.0578134,1.0
0.98716652,0.94045047,1.0
1.0948623,1.0172748,1.0
0.98755005,0.94160231,1.0
1.2099941,1.1145026,1.0
1.0260282,1.0469943,1.0
0.94545208,1.1375927,1.0
1.0100432,0.99582401,1.0
0.92670959,0.99406908,1.0
0.84758418,1.0313304,1.0
1.034978,1.1448391,1.0
1.0232859,0.76098522,1.0
1.0654001,0.8323446,1.0
0.91550455,1.1266753,1.0
0.91948849,1.1893535,1.0
0.95092492,0.97952262,1.0
0.89942903,1.1353813,1.0
1.2691354,1.2170193,1.0
1.0371534,1.0189696,1.0
0.93468737,0.9544473,1.0
1.0424323,0.9522806,1.0
1.1229528,0.97438705,1.0
1.0677597,1.0798674,1.0
1.091665,0.98293528,1.0
1.0480745,1.2037309,1.0
0.84928551,0.96603188,1.0
0.92401067,0.9284144,1.0
1.1059843,1.054452,1.0
0.98019151,1.0235311,1.0
1.0259201,1.0462526,1.0
1.0554925,0.79061236,1.0
0.89785783,0.98499975,1.0
1.0190113,0.81664745,1.0
0.95652117,1.0185339,1.0
0.85258333,1.0764989,1.0
1.0393233,1.1179579,1.0
0.91559188,1.0752968,1.0
0.94971656,1.0484078,1.0
0.86607802,1.0775438,1.0
0.93970363,0.99433387,1.0
1.0439532,0.99614986,1.0
1.1571506,1.1020447,1.0
0.88684513,1.1087284,1.0
1.0345319,0.95291698,1.0
1.0523388,0.82027203,1.0
1.1043964,0.77046773,1.0
1.1259869,0.83774214,1.0
0.88941205,0.89999281,1.0
1.0061373,1.0447118,1.0
1.1230694,0.92241591,1.0
1.0545106,0.99146656,1.0
1.1399976,1.0369391,1.0
1.1216488,0.86137891,1.0
1.23438,0.91497502,1.0
0.73799767,0.92506184,1.0
0.96681494,0.91982106,1.0
0.96613665,0.95607506,1.0
0.85763772,1.0787179,1.0
0.94787633,0.9492529,1.0
1.1422233,1.0694311,1.0
1.0059293,1.0340327,1.0
1.0960585,1.0191856,1.0
1.1634907,1.0975032,1.0
0.9709731,1.2140161,1.0
0.95903826,1.1467333,1.0
0.86828804,0.84159662,1.0
0.97227032,1.0529912,1.0
0.92853073,0.87531557,1.0
0.97807146,0.79892037,1.0
0.97744169,0.87892911,1.0
0.9271636,0.78180878,1.0
0.88553172,0.8868725,1.0
0.96223127,1.1354297,1.0
1.0014626,0.9523513,1.0
0.91043287,1.2680722,1.0
1.0352239,1.0390817,1.0
0.9855872,1.1003997,1.0
0.97393436,0.98540061,1.0
1.0911733,0.97204217,1.0
1.2306182,0.9216632,1.0
1.0847643,1.0160817,1.0
1.0642691,0.85170647,1.0
1.000472,0.91499335,1.0
1.0129787,0.89307754,1.0
1.0581429,1.0168338,1.0
0.94470197,1.1515902,1.0
0.85074412,1.2157529,1.0
1.0429112,0.82442978,1.0
0.92981338,1.0346747,1.0
1.0393717,0.93458985,1.0
0.91694577,0.89185219,1.0
0.87465828,1.010338,1.0
0.85965699,0.95281356,1.0
1.0281101,1.0051119,1.0
1.1954539,1.0768506,1.0
1.0200438,0.90645195,1.0
1.0490504,0.98472894,1.0
1.0143809,0.82996428,1.0
1.0230096,0.96167475,1.0
1.2365475,1.0988852,1.0
0.92187318,0.82543016,1.0
0.98411107,1.0390851,1.0
0.93262906,0.8648,1.0
1.0714048,1.0218994,1.0
1.0255189,0.95497083,1.0
0.96727377,0.97214713,1.0
1.0742107,0.83961112,1.0
0.89942961,0.90889314,1.0
1.0119421,0.98069787,1.0
1.0200442,1.0071679,1.0
1.1573851,0.98086866,1.0
1.0538628,0.93587704,1.0
1.0033061,1.1328555,1.0
0.86582539,0.98055366,1.0
0.85290916,0.92241031,1.0
1.0590631,0.92413529,1.0
0.92998164,0.99244013,1.0
0.97588093,1.0929004,1.0
0.9130583,0.95754325,1.0
1.0181603,1.0871566,1.0
1.022788,1.0226524,1.0
1.174472,0.9436674,1.0
1.1817874,0.91827778,1.0
1.1061633,1.0177344,1.0
1.1083985,0.9896673,1.0
0.8830328,0.90950094,1.0
1.1275773,0.92056574,1.0
0.90584276,1.0539128,1.0
0.84005496,1.0521664,1.0
1.3166253,0.96885996,1.0
1.0318667,1.0826128,1.0
0.93370633,0.96500593,1.0
1.0007926,0.98844973,1.0
1.0069009,1.1234822,1.0
0.7929972,0.9460079,1.0
0.92844499,0.79570446,1.0
1.0529319,0.87111198,1.0
1.003554,1.0290849,1.0
0.83371051,0.97842078,1.0
0.95085077,1.275134,1.0
0.98499331,0.85849234,1.0
1.0081332,0.9756131,1.0
0.8321223,1.0040251,1.0
1.0255336,0.86261706,1.0
1.1529051,1.1079187,1.0
0.84072734,1.0743931,1.0
1.043879,1.1542861,1.0
1.1343651,1.0687522,1.0
1.0380348,0.64498317,1.0
1.0589064,0.90329468,1.0
0.95249618,1.031179,1.0
0.9814811,0.91849311,1.0
0.88552846,1.028337,1.0
0.98784939,0.99337621,1.0
0.9447382,0.94525032,1.0
0.93419672,1.0068056,1.0
1.1447251,1.0512974,1.0
0.98829426,1.1143096,1.0
1.0629935,0.91060549,1.0
1.0375307,0.94282276,1.0
0.89851127,0.9279357,1.0
0.81101418,1.0847896,1.0
0.85662435,1.1572627,1.0
1.0275941,1.1055721,1.0
0.9698792,1.1341014,1.0
